time,reps,data,bias mitigation,ML method,bias mit ML method,sensitive attrs,other,accuracy,precision,recall,sex|[AOD] Average Odds Difference,sex|[EOD] Equal Opportunity Difference,sex|[SPD] Statistical Parity Difference,sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,[SF] Statistical Parity Subgroup Fairness,[DF] Differential Fairness,VAR|accuracy,VAR|precision,VAR|recall,VAR|sex|[AOD] Average Odds Difference,VAR|sex|[EOD] Equal Opportunity Difference,VAR|sex|[SPD] Statistical Parity Difference,VAR|sex|[DI_FM] Disparate Impact the way it was implemented in FairMask,VAR|[SF] Statistical Parity Subgroup Fairness,VAR|[DF] Differential Fairness,id,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
16:10.6,3,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.646666667,0.760776942,0.739173408,-0.194618112,-0.051674276,-0.158181089,0.310273699,0.034533333,0.246990648,0.000555556,0.000420255,0.001490057,0.01943023,0.012456857,0.016564063,0.086202377,0.000779236,0.04455726,1,,,,,,,,
16:10.5,3,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.676666667,0.778895058,0.766996845,-0.228287914,-0.045753808,-0.187131922,0.391645299,0.041,0.297119986,0.000288889,0.000198951,0.00140547,0.023739061,0.020448974,0.023235361,0.139482559,0.001092027,0.063931396,1.1,,,,,,,,
16:10.5,3,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.71,0.760913596,0.870371862,0.098397552,0.110237789,0.079474582,0.090333691,0.017633333,0.095609195,0.000266667,0.000429144,0.000823633,0.004266649,0.000652929,0.001275031,0.001569154,6.72E-05,0.001847102,1.2,,,,,,,,
16:10.4,3,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.75,0.767813027,0.934963455,-0.026896109,0.019756048,-0.043003683,0.104730259,0.0191,0.10083307,0.0008,0.000896899,0.000194302,0.010206366,0.001714318,0.006156372,0.001050727,2.11E-05,0.000753918,1.3,,,,,,,,
16:10.4,3,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.743333333,0.761880958,0.935000161,-0.097577511,-0.02339247,-0.09773497,0.121208345,0.021433333,0.113575251,0.000422222,0.000214501,0.000333371,0.000110032,0.003537824,0.001133169,0.00212672,5.26E-05,0.001649301,1.4,,,,,,,,
16:10.3,3,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.646666667,0.826228744,0.649192639,-0.115063999,0.032528217,-0.097566347,0.196592946,0.0215,0.179067019,0.000622222,0.00117505,0.001205148,0.00090407,0.001508201,0.000158949,0.001192582,1.09E-05,0.000817409,1.5,,,,,,,,
16:10.3,3,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.753333333,0.766835017,0.94510695,-0.143339224,-0.038165197,-0.13369337,0.169438385,0.029533333,0.155717378,0.000155556,0.00014596,0.000289555,0.001329597,0.001191331,0.001085812,0.002174505,6.23E-05,0.001623724,1.6,,,,,,,,
16:10.2,3,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.746666667,0.767011197,0.930750278,-0.191771494,-0.109388711,-0.189157928,0.256988218,0.041733333,0.227406561,0.000288889,0.000260772,9.04E-05,0.001296268,0.000456164,0.001480567,0.004052008,8.67E-05,0.002653777,1.7,,,,,,,,
16:10.2,3,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.72,0.736262077,0.953706091,0.022744307,0.018234251,0.006600741,0.021466642,0.0044,0.021537615,0.0018,0.001700056,0.000309429,0.002464097,0.000485136,0.000363625,6.14E-06,1.07E-07,6.17E-06,1.8,,,,,,,,
16:10.1,3,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.736666667,0.760286225,0.926055443,-0.052070934,0.010477826,-0.057061123,0.10103339,0.018033333,0.095902091,8.89E-05,0.000130141,1.32E-05,0.004574976,0.00169439,0.004509512,0.002074255,5.43E-05,0.001687294,1.9,,,,,,,,
16:10.1,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.63,0.75,0.695652174,-0.066439076,0.026785714,-0.061538462,0.102564103,0.014,0.09763847,0,0,0,0,0,0,0,0,0,2,,,,,,,,
16:08.2,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.67,0.78125,0.724637681,-0.12447479,0.053571429,-0.105494505,0.184615385,0.024,0.169418152,0,0,0,0,0,0,0,0,0,2.1,,,,,,,,
16:08.1,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.71,0.738095238,0.898550725,0.142244398,0.145833333,0.114285714,0.125,0.026,0.133531393,0,0,0,0,0,0,0,0,0,2.2,,,,,,,,
14:14.4,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.73,0.738636364,0.942028986,-0.082895658,0.014880952,-0.079120879,0.095490716,0.018,0.091202406,0,0,0,0,0,0,0,0,0,2.3,,,,,,,,
14:10.3,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.72,0.741176471,0.913043478,-0.097776611,0.056547619,-0.076923077,0.096153846,0.0175,0.091807549,0,0,0,0,0,0,0,0,0,2.4,,,,,,,,
14:10.3,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.68,0.849056604,0.652173913,-0.09462535,0.020833333,-0.112087912,0.245192308,0.0255,0.219289982,0,0,0,0,0,0,0,0,0,2.5,,,,,,,,
14:10.2,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.75,0.75,0.956521739,-0.194152661,-0.005952381,-0.167032967,0.216524217,0.038,0.19599779,0,0,0,0,0,0,0,0,0,2.6,,,,,,,,
14:10.0,1,German Dataset,No Bias Mitigation,LogisticRegression,,['sex'],{},0.73,0.744186047,0.927536232,-0.241771709,-0.101190476,-0.224175824,0.313846154,0.051,0.272958831,0,0,0,0,0,0,0,0,0,2.7,,,,,,,,
14:09.9,1,German Dataset,FYP VAE,LogisticRegression,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.69,0.697916667,0.971014493,0.014530812,0.041666667,0.017582418,0.018099548,0.004,0.018265348,0,0,0,0,0,0,0,0,0,2.8,,,,,,,,
12:15.0,1,German Dataset,FFVAE,LogisticRegression,,['sex'],{'c': 'LFR'},0.73,0.744186047,0.927536232,-0.108193277,0.035714286,-0.092307692,0.115384615,0.021,0.109199292,0,0,0,0,0,0,0,0,0,2.9,,,,,,,,
12:11.6,1,German Dataset,FairMask Bias Mitigation,MLPClassifier,DecisionTreeRegressor,['sex'],{},0.68,0.789473684,0.789473684,-0.129004329,0.027705628,-0.072931276,0.102766798,0.0156,0.097822293,0,0,0,0,0,0,0,0,0,3,,,,,,,,
12:09.7,1,German Dataset,No Bias Mitigation,MLPClassifier,,['sex'],{},0.7,0.794871795,0.815789474,-0.114285714,0.057142857,-0.055165965,0.074354127,0.0118,0.071719669,0,0,0,0,0,0,0,0,0,3.1,,,,,,,,
12:09.6,1,German Dataset,FYP VAE,MLPClassifier,,['sex'],"{'c': '', 'my model config': ""VAEMaskConfig(epochs=1300, latent_dim=20, mask_values=None vae_layers=(75, 60, 30, 20), lr=0.014, \nlosses_used=['Latent sens ADV loss', 'Sensitive KL loss', 'Reconstruction loss', 'KL divergence loss'])Latent sens ADV loss: {'weight': 0.11, 'lr': 0.05, 'optimizer': 'Adam', 'layers': (30, 30), 'input_dim': 19}, Sensitive KL loss: {'weight': 9000, 'sens_col_ids': [23]}, Reconstruction loss: {'weight': 15}, KL divergence loss: {'weight': 0.005}""}",0.73,0.788235294,0.881578947,0.006060606,0.097835498,0.030388032,0.034889962,0.0065,0.035513156,0,0,0,0,0,0,0,0,0,3.2,,,,,,,,
10:14.5,1,German Dataset,FFVAE,MLPClassifier,,['sex'],{'c': 'LFR'},0.79,0.808988764,0.947368421,0.114935065,0.072727273,0.065918654,0.070464768,0.0141,0.073070568,0,0,0,0,0,0,0,0,0,3.3,,,,,,,,
10:09.9,1,German Dataset,Reweighing Bias Mitigation,LogisticRegression,,['sex'],{},0.74,0.77173913,0.934210526,-0.084632035,-0.040692641,-0.071061244,0.081588835,0.0152,0.078431104,0,0,0,0,0,0,0,0,0,3.4,,,,,,,,
10:09.8,1,German Dataset,FairBalance Bias Mitigation,LogisticRegression,,['sex'],{},0.62,0.851851852,0.605263158,-0.157575758,0.084848485,-0.081346424,0.168115942,0.0174,0.155392145,0,0,0,0,0,0,0,0,0,3.5,,,,,,,,
10:09.7,1,German Dataset,FairMask Bias Mitigation,LogisticRegression,DecisionTreeRegressor,['sex'],{},0.74,0.777777778,0.921052632,-0.125541126,-0.022510823,-0.088826554,0.105908584,0.019,0.100667245,0,0,0,0,0,0,0,0,0,3.6,,,,,,,,
